"filename", "language", "JavaScript", "JSON with Comments", "Markdown", "YAML", "JSON", "TypeScript", "HTML", "Ini", "Vue", "SCSS", "JSON5", "PostCSS", "comment", "blank", "total"
"e:\Workspace\Applications\talex-touch\app\core\src\base\axios.ts", "TypeScript", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 8, 18, 86
"e:\Workspace\Applications\talex-touch\app\core\src\base\router.ts", "TypeScript", 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 54, 6, 129
"e:\Workspace\Applications\talex-touch\app\core\src\components.d.ts", "TypeScript", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 5, 3, 21
"e:\Workspace\Applications\talex-touch\app\core\src\components\addon\AgreementTemplate.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 10, 80
"e:\Workspace\Applications\talex-touch\app\core\src\components\addon\TerminalTemplate.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 11, 64
"e:\Workspace\Applications\talex-touch\app\core\src\components\base\AppUpgradationView.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 1, 15, 62
"e:\Workspace\Applications\talex-touch\app\core\src\components\base\EmptyAnimate.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 2, 16, 68
"e:\Workspace\Applications\talex-touch\app\core\src\components\base\ProgressBar.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 3, 16, 87
"e:\Workspace\Applications\talex-touch\app\core\src\components\base\button\FlatButton.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 2, 11, 64
"e:\Workspace\Applications\talex-touch\app\core\src\components\base\button\IconButton.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 150, 0, 0, 0, 3, 20, 173
"e:\Workspace\Applications\talex-touch\app\core\src\components\base\checkbox\TCheckBox.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 14, 73
"e:\Workspace\Applications\talex-touch\app\core\src\components\base\dialog\TBlowDialog.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 153, 0, 0, 0, 1, 46, 200
"e:\Workspace\Applications\talex-touch\app\core\src\components\base\dialog\TBottomDialog.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 249, 0, 0, 0, 3, 71, 323
"e:\Workspace\Applications\talex-touch\app\core\src\components\base\dialog\TDialogMention.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 342, 0, 0, 0, 7, 108, 457
"e:\Workspace\Applications\talex-touch\app\core\src\components\base\dialog\TPopperDialog.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 153, 0, 0, 0, 5, 45, 203
"e:\Workspace\Applications\talex-touch\app\core\src\components\base\dialog\TouchTip.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 227, 0, 0, 0, 1, 77, 305
"e:\Workspace\Applications\talex-touch\app\core\src\components\base\group\TBlockLine.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 1, 19, 94
"e:\Workspace\Applications\talex-touch\app\core\src\components\base\group\TBlockSlot.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 12, 30, 145
"e:\Workspace\Applications\talex-touch\app\core\src\components\base\group\TGroupBlock.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 151, 0, 0, 0, 1, 35, 187
"e:\Workspace\Applications\talex-touch\app\core\src\components\base\input\FlatCodeInput.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 19, 87
"e:\Workspace\Applications\talex-touch\app\core\src\components\base\input\FlatCompletion.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 17, 27, 167
"e:\Workspace\Applications\talex-touch\app\core\src\components\base\input\FlatInput.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 144, 0, 0, 0, 1, 33, 178
"e:\Workspace\Applications\talex-touch\app\core\src\components\base\input\FlatKeyInput.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 9, 38
"e:\Workspace\Applications\talex-touch\app\core\src\components\base\input\FlatMarkdown.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 2, 44, 182
"e:\Workspace\Applications\talex-touch\app\core\src\components\base\select\TBlockSelect.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 125, 0, 0, 0, 4, 26, 155
"e:\Workspace\Applications\talex-touch\app\core\src\components\base\select\TLabelSelect.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 20, 101
"e:\Workspace\Applications\talex-touch\app\core\src\components\base\select\TLabelSelectItem.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 7, 44
"e:\Workspace\Applications\talex-touch\app\core\src\components\base\select\TSelect.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 168, 0, 0, 0, 13, 38, 219
"e:\Workspace\Applications\talex-touch\app\core\src\components\base\select\TSelectItem.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 3, 6, 49
"e:\Workspace\Applications\talex-touch\app\core\src\components\base\switch\TBlockSwitch.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 131, 0, 0, 0, 33, 36, 200
"e:\Workspace\Applications\talex-touch\app\core\src\components\base\switch\TSwitch.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 2, 20, 73
"e:\Workspace\Applications\talex-touch\app\core\src\components\base\template\ActionTemplate.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 6, 36
"e:\Workspace\Applications\talex-touch\app\core\src\components\base\template\BlockTemplate.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 3, 34
"e:\Workspace\Applications\talex-touch\app\core\src\components\base\template\BrickTemplate.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 3, 29
"e:\Workspace\Applications\talex-touch\app\core\src\components\base\template\FormTemplate.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 29, 137
